CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time,CO_Norm
0.4768786191557598,0.948709734940465,2.2246649383660912,0.2439764773614905,0.4449827253521525,-0.0102278908404316,0.8155723709549302,0.4347487273862507,0.6471641709647203,0.6449947793741827,0.0889997252889213,0.1849476103332271,0.196064486557619,10/03/2004,18.00.00,2.5784524509213695
0.4691050135958882,0.7412814380630237,1.9511612914414171,0.1831909529967886,0.1775311755736342,-0.2564503598818359,1.1842846871056012,0.2683032286055272,0.3607515132695799,-0.0067642716982651,0.082013318034407,0.1613739418540858,0.1952307082342592,10/03/2004,19.00.00,2.906944009709155
0.4716962154491788,1.0768272124235905,1.7784221460153071,0.1734652690984363,0.1305067272609276,-0.1470181514189895,1.0780455451638824,0.4426747035186661,0.3521375987524328,0.2178283742794027,0.0494100841800067,0.2851357013695779,0.1958683034227108,10/03/2004,20.00.00,1.6542867595446806
0.4716962154491788,0.9975163930292748,1.7208424308732704,0.1783281110476124,0.1569579794368251,0.0132218681158925,0.9280608741873384,0.5060825125779894,0.4145884790017491,0.5018720147805709,0.0284508624164637,0.4030040437652848,0.1968104987416778,10/03/2004,21.00.00,1.1704503285924874
0.4639226098893071,0.6802731154520116,1.5121159634833876,0.1126797447337343,-0.1722131587521205,-0.1470181514189895,1.2811497871112858,0.4585266557834969,0.2121614878487927,0.2970963669774031,0.0331084672528065,0.3951461542722377,0.1968647072394814,10/03/2004,22.00.00,1.174053207587807
0.4587402061827261,0.451491905660716,1.418548926377578,0.0689141671911489,-0.4249695684329181,-0.3111664641132591,1.6936076322967824,0.3000071331351888,0.0032740608079759,-0.0574077114775432,0.0331084672528065,0.3872882647791906,0.1967614529579508,10/03/2004,23.00.00,1.1844929162629632
0.4587402061827261,0.4148869120941088,1.3681666756282962,0.04216853647068,-0.6013112496055676,-0.4166903794167181,2.084192712964866,0.149413586619296,-0.1259346569492302,-0.5330156676655458,0.035437269670978,0.3401409278209077,0.1961290204835757,11/03/2004,00.00.00,1.3486768826133846
0.4561490043294355,0.265416521697129,1.3681666756282962,0.0348742735469158,-0.6542137539573624,-0.4166903794167181,2.0560705871567637,0.1414876104868807,-0.1259346569492302,-0.5396213337237125,0.0214644551619493,0.4030040437652848,0.196384574830364,11/03/2004,01.00.00,1.1318720280511703
0.4548534034027902,0.1372990442140035,1.317784424879014,0.010560063801035,-0.8393725191886443,-0.4831313631263034,2.4497803484701923,0.0146719923682341,-0.2486829388185761,-0.7818290891898249,0.0214644551619493,0.3971106266454995,0.1962451815502976,11/03/2004,02.00.00,1.1454072817065095
0.4509666006228544,-0.1189359107522474,1.281797102915241,-0.0040284620464934,-0.980445864126764,-1.4406631871762092,2.8434901097836205,-2.0460818020597715,-0.3369755626193337,-1.0438538428304374,0.0121492454892635,0.4069329885118084,0.1959070237782848,11/03/2004,03.00.00,1.1082085093963037
