CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time
0.47687861915575985,0.948709734940465,2.2246649383660912,0.24397647736149058,0.44498272535215255,-0.010227890840431627,0.8155723709549302,0.4347487273862507,0.6471641709647203,0.6449947793741827,0.08899972528892136,0.18494761033322712,0.19606448655761907,10/03/2004,18.00.00
0.4691050135958882,0.7412814380630237,1.9511612914414171,0.18319095299678864,0.1775311755736342,-0.25645035988183595,1.1842846871056012,0.2683032286055272,0.3607515132695799,-0.00676427169826519,0.08201331803440703,0.16137394185408582,0.1952307082342592,10/03/2004,19.00.00
0.4716962154491788,1.0768272124235905,1.7784221460153071,0.17346526909843632,0.13050672726092769,-0.14701815141898958,1.0780455451638824,0.4426747035186661,0.3521375987524328,0.2178283742794027,0.04941008418000675,0.28513570136957794,0.19586830342271086,10/03/2004,20.00.00
0.4716962154491788,0.9975163930292748,1.7208424308732704,0.17832811104761245,0.1569579794368251,0.013221868115892594,0.9280608741873383,0.5060825125779894,0.41458847900174917,0.5018720147805709,0.028450862416463704,0.4030040437652848,0.19681049874167786,10/03/2004,21.00.00
0.4639226098893071,0.6802731154520116,1.5121159634833876,0.11267974473373435,-0.17221315875212054,-0.14701815141898958,1.2811497871112858,0.45852665578349694,0.2121614878487927,0.2970963669774031,0.033108467252806584,0.3951461542722377,0.19686470723948143,10/03/2004,22.00.00
0.4587402061827261,0.45149190566071606,1.4185489263775781,0.06891416719114894,-0.4249695684329181,-0.31116646411325916,1.6936076322967824,0.3000071331351888,0.003274060807975981,-0.05740771147754324,0.033108467252806584,0.3872882647791906,0.1967614529579508,10/03/2004,23.00.00
0.4587402061827261,0.4148869120941088,1.3681666756282962,0.04216853647068008,-0.6013112496055676,-0.41669037941671816,2.084192712964866,0.14941358661929607,-0.12593465694923026,-0.5330156676655458,0.035437269670978065,0.34014092782090777,0.1961290204835757,11/03/2004,00.00.00
0.4561490043294355,0.26541652169712904,1.3681666756282962,0.034874273546915836,-0.6542137539573624,-0.41669037941671816,2.0560705871567637,0.1414876104868807,-0.12593465694923026,-0.5396213337237125,0.021464455161949343,0.4030040437652848,0.196384574830364,11/03/2004,01.00.00
0.4548534034027902,0.13729904421400357,1.317784424879014,0.010560063801035052,-0.8393725191886443,-0.48313136312630345,2.4497803484701923,0.01467199236823418,-0.24868293881857617,-0.7818290891898249,0.021464455161949343,0.3971106266454995,0.19624518155029766,11/03/2004,02.00.00
0.45096660062285443,-0.11893591075224741,1.281797102915241,-0.004028462046493414,-0.9804458641267639,-1.4406631871762092,2.8434901097836205,-2.0460818020597715,-0.33697556261933376,-1.0438538428304374,0.01214924548926358,0.4069329885118084,0.19590702377828484,11/03/2004,03.00.00
-2.1480088582275583,-0.1158854946216968,1.2458097809514683,-0.013754145944845725,-1.0803728167912652,-0.5769303989516004,3.196579022707568,-0.1914033870745664,-0.418807750532231,-1.167159609249549,0.007491640652920659,0.41282640563159373,0.19577279321229502,11/03/2004,04.00.00
0.4522622015494997,0.05188739255858658,1.2026249945949408,-0.01861698789402188,-1.1244582370844276,-0.5964718647485372,3.5090470872420356,-0.2389592438690588,-0.4511099299715326,-1.2178030490288272,0.028450862416463704,0.3283540935813372,0.1955172388655067,11/03/2004,05.00.00
0.4522622015494997,0.009181566730878084,1.2602047097369773,-0.0064598830210814895,-1.0039580882831172,-0.5261225878795645,2.9466045710799946,-0.0804397212207507,-0.36712426342934856,-1.1077086147260489,0.016806850325606464,0.365679068673311,0.19548368122400925,11/03/2004,06.00.00
0.45744460525608077,0.28981985074153394,1.353771746842787,0.03244285257232776,-0.6689088940550831,-0.2759918256787728,2.1716837710345165,0.1890434672813731,-0.11301378517350963,-0.5396213337237125,0.009820443071092099,0.3951461542722377,0.19564888807445827,11/03/2004,07.00.00
0.4691050135958882,0.8663484994155987,1.605683000589197,0.14915105935255552,0.015884634498705544,0.021038454434667335,1.0655468225825038,0.4268227512538353,0.2703054108395355,0.2794812574889586,0.023793257580120825,0.3519277620604785,0.19562565586111388,11/03/2004,08.00.00
0.4716962154491788,0.9212559897655095,1.7712246816225525,0.1856223739713767,0.192226315671355,-0.15483473773776432,0.8874400257978575,0.33963701379726585,0.4124350003724624,0.11654149472084659,0.016806850325606464,0.41479087800485553,0.19635617990294307,11/03/2004,09.00.00
0.46521821081595244,0.5613068863605379,1.6992500376950068,0.10781690278455817,-0.19866441092801795,-0.2212757214473496,1.3217706355007666,0.3158590854000196,0.11740842816017481,-0.2533758045364887,0.023793257580120825,0.37157248579309626,0.19599737127462416,11/03/2004,10.00.00
0.46262700896266185,0.3965844153108051,1.454536248341351,0.07620843011491317,-0.3897012321983882,-0.2877167051569349,1.6654855064886802,0.2683032286055272,-0.06348377669991391,-0.669532766200991,0.016806850325606464,0.3617501239267874,0.195481099866971,11/03/2004,11.00.00
0.4639226098893071,0.5704581347521898,1.5840906074109335,0.08107127206408933,-0.3544328959638583,-0.2525420667224486,1.5811191290643742,0.2920811570027734,0.020501889842270145,-0.6849459870033799,-0.0064811738561080245,0.5365881651470858,0.19702733273289216,11/03/2004,12.00.00
0.4678094126692429,0.7229789412797201,1.5984855361964427,0.13213111253043897,-0.07522523410716334,-0.08839375402817903,1.146788519361465,0.4268227512538353,0.3133749834252709,-0.38769101438587833,-0.03442680287416539,0.7251775129802169,0.19816829254380564,11/03/2004,13.00.00
0.4807654219356956,0.9822643123765217,2.3254294398646556,0.23425079346313826,0.40971438911762265,0.15001212869445055,0.5874706838447693,0.5536383693724818,0.7289963588776176,0.13635849289534668,-0.04141321012867975,0.8175077145235204,0.1990536980079308,11/03/2004,14.00.00
0.4716962154491788,0.7961889284129346,1.713644966480516,0.16860242714926016,0.11287255914366275,0.060121386028541036,0.8968140677338916,0.537786417107651,0.5502576326468157,-0.06401337753570994,-0.03442680287416539,0.7919695736711173,0.19916211500353798,11/03/2004,15.00.00
